id,description,title,course_id,taxonomy,mastery_threshold,soft_due_date,optional,linked_standardized_competency_id,discriminator,linked_course_competency_id
181,"Du kannst mit Variablen umgehen.  
  Du kannst Methoden erstellen und aufrufen.  
  Du kennst Konstruktoren und weißt wofür sie da sind.  
  Du weißt wie Objekte gespeichert werden und wie sich Referenzen auf diese verhalten",Klassen und Objekte,299,U,80,,False,,C,
182,"Du verstehst den Aufbau vom Stack und was darauf gespeichert wird.  
  Du verstehst den Aufbau vom Heap und was darauf gespeichert wird.",Speicherkonzepte,299,U,80,,False,,C,
183,"Du kennst die verschiedenen Keywords wie public und deren Bedeutung.  
  Du verstehst das Prinzip von Gettern und Settern und wofür Datenkapselung da ist.  
  Du kannst mittel-schwere Ansätze selbstständig implementieren.",Zugriffsmodifier und Kapselung,299,U,80,,False,,C,
184,"Du kannst Klassen und ihren Inhalt in UML darstellen.  
  Du weißt wie Beziehungen von Klassen in UML dargestellt werden.  
  Du kannst eigenständig UML-Diagramme erstellen und lesen.",UML,299,U,80,,False,,C,
185,Du verstehst das Kurzschlussverhalten von && und || im Vergleich zu & und |.,Logische Operatoren,299,R,80,,False,,C,
186,"Du bist dazu in der Lage einfach verkettete Listen selbst zu implementieren.  
  Du bist dazu in der Lage doppelt verkettete Listen selbst zu implementieren.  
  Du kennst sowohl iterative als auch rekursive Ansätze um durch Listen zu iterieren.",Listen,299,Y,80,,False,,C,
187,"Du bist dazu in der Lage Strings mithilfe von Listen zu implementieren.  
  Du bist dazu in der Lage Stacks, Queues und Deques mithilfe von Listen zu implementieren.",Datenstrukturen basierend auf Listen,299,Y,80,,False,,C,
188,"Du weißt wie Vererbungen in UML dargestellt werden.  
  Du bist dazu in der Lage Vererbungen im Code zu implementieren.  
  Du kannst die Keywords protected und super anwenden.  
  Du kannst Methoden in Unterklassen überschreiben.",Vererbung,299,Y,80,,False,,C,
191,"Du verstehst das Konzept von abstrakten Methoden.  
  Du weißt welche Modifier implizit bei Interfaces in Java dabei sind.  
  Du kannst Default-Methoden in Interfaces erstellen.  
  Du kannst anonyme Klassen erstellen.",Abstrakte Klassen und Interfaces,299,U,80,,False,,C,
192,"Du verstehst das Konzept von statischen und dynamischen Typen.  
  Du verstehst das Konzept von überschriebenen Methoden.  
  Du kennst den Dynamic Dispatch und weißt wann er stattfindet.  
  Du kennst das Prinzip der Verschattung von Variablen.  
  Du verstehst das Konzept von Casts und weißt wie du das Keyword instanceof verwendest.",Polymorphie,299,U,80,,False,,C,
193,"Du kannst innere Klassen erstellen.  
  Du weißt in welchen Situationen innere Klassen sinnvoll sind.",Innere Klassen,299,R,80,,False,,C,
194,"Du verstehst das Konzept von Enums.  
  Du weißt in welchen Situationen das Erstellen von eigenen Enums sinnvoll ist.",Enums,299,R,80,,False,,C,
196,"Du bist dazu in der Lage Klassen um Generics zu erweitern und kannst sie z.B. für Attribute verwenden.  
  Du kannst einzelne Methoden durch Generics erweitern.",Generics,299,Y,80,,False,,C,
197,"Du bist dazu in der Lage die von Java bereitgestellten Listen zu verwenden.  
  Du bist dazu in der Lage die von Java bereitgestellten Sets zu verwenden.  
  Du bist dazu in der Lage die von Java bereitgestellten Maps zu verwenden.",Standard Library: Collections,299,R,80,,False,,C,
198,"Du verstehst das Konzept von Iteratoren.  
  Du bist dazu in der Lage erweiterte for-Schleifen in Verbindung mit Iteratoren zu nutzen.",Iteratoren,299,U,100,,False,,C,
199,"Du kennst eine Auswahl von häufig benutzen Exceptions.  
  Du kennst die Keywords throw und throws und weißt wie man sie im Code benutzt.  
  Du verstehst wann und wie man try-catch verwendet.  
  Du kannst eigenständig neue individuelle Exceptions erstellen.",Exceptions,299,Y,80,,False,,C,
200,"Du verstehst das Konzept von Funktionalen Interfaces.  
  Du kennst fundamentale Funktionale Interfaces aus der Standartbibliothek.",Funktionen als Objekte,299,U,80,,False,,C,
201,"Du bist in der Lage dazu Dateien einzulesen.  
  Du kannst Dateien erstellen.  
  Du kannst neue Inhalte in Dateien schreiben.",I/O,299,Y,80,,False,,C,
202,"Du kannst Streams von Arrays, Collections und Dateien erstellen.  
  Du kennst verschiedene fundamentale Methoden von Streams.",Streams,299,Y,80,,False,,C,
203,"Du kennst die Klasse Thread und kannst von ihr erbende Klassen schreiben.  
  Du kennst das Interface Runnable und kannst dafür implementierende Klassen schreiben.  
  Du kennst die verschiedenen Zustände von Threads.",Threads,299,U,80,,False,,C,
204,"Du verstehst das Konzept von Sockets.  
  Du kannst ServerSockets erstellen und damit Verbindungen annehmen.  
  Du kannst mithilfe der Sockets Nachrichten senden und empfangen.",Netzwerkprogrammierung,299,Y,80,,False,,C,
440,"Du kannst mit Variablen umgehen.  
  Du kannst Methoden erstellen und aufrufen.  
  Du kennst Konstruktoren und weißt wofür sie da sind.  
  Du weißt wie Objekte gespeichert werden und wie sich Referenzen.",Klassen und Objekte,404,U,80,2024-11-03 22:59:00.000,False,,C,
441,"Du kannst Klassen und ihren Inhalt in UML darstellen.  
  Du weißt wie Beziehungen von Klassen in UML dargestellt werden.  
  Du kannst eigenständig UML-Diagramme erstellen und lesen.",UML,404,U,80,2024-11-03 22:59:00.000,False,,C,
457,"- Du verstehst grundlegende Kontrollstrukturen.
- Du weißt, wie Schleifen und Bedingungen zur Steuerung des Programmflusses genutzt werden können.
- Du kannst einfache und geschachtelte Kontrollstrukturen anwenden.",Kontrollstrukturen,404,U,80,2024-11-17 17:00:00.000,False,,C,
485,"- Du kennst die verschiedenen Keywords wie public, private, etc. und deren Bedeutung.
- Du verstehst das Prinzip von Gettern und Settern und wofür Datenkapselung da ist.
- Du kannst mittel-schwere Ansätze selbstständig implementieren",Zugriffsmodifier und Kapselung,404,U,80,2024-11-10 17:00:00.000,False,,C,
486,- Du verstehst das Kurzschlussverhalten von && und || im vergleich zu & und |.,Logische Operatoren,404,R,80,2024-11-10 17:00:00.000,False,,C,
487,"- Du kennst die verschiedenen Basistypen von Java und ihre Größenordnungen.
- Du weißt was Overflows und Underflows bedeuten, bzw wann diese auftreten können.
- Du kennst die Hierarchie der Basistypen und weißt wann und wo Datenverluste auftreten können.
- Du kennst den Unterschied zwischen impliziten und expliziten Casts.",Basistypen,404,U,80,2024-11-10 17:00:00.000,False,,C,
488,- Du verstehst den Unterschied zwischen Call-by-Value und Call-by-Reference.,Call-by-Value,404,U,80,2024-11-10 17:00:00.000,False,,C,
489,"- Du kennst die verschiedenen Testannotationen wie @Test, @BeforeAll, @BeforeEach.
- Du kannst mit den Assertions (assertEquals, assertNotNull, ...) von JUnit 5 umgehen und damit eigene Testmethoden schreiben.",JUnit Testing,404,U,80,2024-11-10 17:00:00.000,False,,C,
527,"- Du kannst Arrays erstellen.
- Du kannst auf Elemente im Array zugreifen.
- Du weißt, wie man IndexOutOfBoundsExceptions verhindert.
- Du kannst die Konzepte auch auf mehrdimensionale Arrays anwenden.",Arrays,404,Y,100,2024-11-24 17:00:00.000,False,,C,
528,"- Du verstehst, wie die Operatoren >>, <<, |, & und ^ funktionieren
- Du verstehst, wie sich Zahlen auf Bitebene verhalten
- Du kennst den Unterschied zwischen >> und >>>",Bitweise Operatoren,404,U,100,2024-11-24 17:00:00.000,False,,C,
529,"- Du bist dazu in der Lage einfach verkettete Listen selbst zu implementieren.
- Du bist dazu in der Lage doppelt verkettete Listen selbst zu implementieren.
- Du kennst sowohl iterative als auch rekursive Ansätze um durch Listen zu iterieren.",Listen,404,Y,100,2024-12-14 23:00:00.000,False,,C,
530,"- Du bist dazu in der Lage Stacks und Queues mithilfe von Listen zu implementieren.
- Du kannst Listen mit anderen Datenstrukturen kombinieren, um komplexere Datenstrukturen umzusetzen",Datenstrukturen basierend auf Listen,404,Y,100,2024-11-30 23:00:00.000,False,,C,
531,"- Du weißt wie Vererbungen in UML dargestellt werden.
- Du bist dazu in der Lage Vererbungen im Code zu implementieren.
- Du kannst das Keyword super anwenden.
- Du kannst Methoden in Unterklassen überschreiben.",Vererbung Basics,404,Y,100,2024-11-30 23:00:00.000,False,,C,
536,"* Du verstehst Rekursion als Methode zur Lösung komplexer Probleme durch Zerlegung in Teilprobleme.
* Du kannst Basis- und Rekursionsfälle definieren und umsetzen.
* Du erkennst, wann Rekursion effizienter ist als Iteration.",Rekursion,404,Y,100,2024-12-13 23:00:00.000,False,,C,
537,"* Du verstehst verschiedene Baumarten (z. B. binäre Bäume) und deren Anwendungen.
* Du kannst rekursive Algorithmen zur Baumdurchquerung (Pre-order, In-order, Post-order) implementieren.
* Du bist in der Lage, Algorithmen für das Hinzufügen, Suchen und Löschen von Knoten in einem Baum zu entwickeln.",Rekursive Datenstrukturen,404,Y,100,2024-12-13 23:00:00.000,False,,C,
538,"* Du verstehst Merge Sort als einen Divide-and-Conquer-Algorithmus und kannst die einzelnen Schritte detailliert erklären.
* Du weißt, wie Merge Sort mit anderen Sortieralgorithmen (z. B. Quick Sort, Heap Sort) verglichen wird und kannst die beste Wahl für ein gegebenes Problem treffen. 
* Du kannst die iterativen und rekursiven Sortierverfahren vergleichen und erklären.",Rekursives Sortieren ,404,Y,100,2024-12-13 23:00:00.000,False,,C,
546,"- Du verstehst das Konzept von Iteratoren.
- Du bist dazu in der Lage erweiterte for-Schleifen in Verbindung mit Iteratoren zu nutzen.",Iteratoren,404,U,100,2024-12-21 23:00:00.000,False,,C,
547,"- Du kennst eine Auswahl von häufig benutzen Exceptions.
- Du kennst die Keywords throw und throws und weißt wie man sie im Code benutzt.
- Du verstehst wann und wie man try-catch verwendet.
- Du kannst eigenständig neue individuelle Exceptions erstellen.",Exceptions,404,Y,100,2024-12-21 23:00:00.000,False,,C,
548,"- Du verstehst das Konzept von Funktionalen Interfaces.
- Du kennst fundamentale Funktionale Interfaces aus der Standartbibliothek.",Funktionen als Objekte,404,U,100,2024-12-21 23:00:00.000,False,,C,
549,"- Du verstehst das Konzept von abstrakten Methoden.
- Du weißt welche Modifier implizit bei Interfaces in Java dabei sind.
- Du kannst Default-Methoden in Interfaces erstellen.
- Du kannst anonyme Klassen erstellen.",Abstrakte Klassen und Interfaces,404,U,100,2024-12-07 23:00:00.000,False,,C,
550,"- Du verstehst das Konzept von statischen und dynamischen Typen.
- Du verstehst das Konzept von überschriebenen Methoden.
- Du kennst den Dynamic Dispatch und weißt wann er stattfindet.
- Du kennst das Prinzip der Verschattung von Variablen.
- Du verstehst das Konzept von Casts und weißt wie du das Keyword instanceof verwendest.",Polymorphie,404,U,100,2024-12-07 23:00:00.000,False,,C,
551,"- Du kannst innere Klassen erstellen.
- Du weißt in welchen Situationen innere Klassen sinnvoll sind.",Innere Klassen,404,R,100,2024-12-07 23:00:00.000,False,,C,
552,"- Du verstehst das Konzept von Enums.
- Du weißt in welchen Situationen das Erstellen von eigenen Enums sinnvoll ist.",Enums,404,R,100,2024-12-07 23:00:00.000,False,,C,
